sku,field,expected,actual
SONY-SONY-A7SIII-001,name_en,"Sony a7S III Professional Cinema Camera","sony a7siii"
SONY-SONY-A7SIII-001,dailyPrice,"300","0"
BRINN-BRINNO-CONSTRUCTION--003,dailyPrice,"150","0"
FLIX-CHECKER-SILVER-AND-012,category_slug,"lighting-accessories","lighting"
APUTU-APTURE-FRESNEL-2X-015,category_slug,"lighting-accessories","light-accessories"
GOPRO-GOPRO-13BLACK-004,name_en,"GoPro 13 Black Action Camera","Gopro 13Black"
GOPRO-GOPRO-13BLACK-004,dailyPrice,"100","0"
SONY-SONY-A7R5-002,name_en,"Sony a7R V Full-Frame Mirrorless Camera","sony a7r5"
SONY-SONY-A7R5-002,dailyPrice,"350","0"
FLIX-IR-FILTER-82-009,category_slug,"accessories","camera-accessories"
REVAR-REVAR-CINE-ROTA-022,category_slug,"accessories","camera-accessories"
TIFFE-ND-09-TIFFEN-018,category_slug,"accessories","camera-accessories"
BLACK-BLACKMAGIC-CONVERT-H-028,category_slug,"accessories","camera-accessories"
BLACK-BLACKMAGIC-CONVERT-S-027,category_slug,"accessories","camera-accessories"
PHOTT-PHOTTIX-RAJA-STRIP-017,category_slug,"lighting-accessories","lighting-modifiers"
GVM-GVM50RS-001,category_slug,"lighting","led-panels"
SELEN-SELENS-SOFTBOX-60CM-020,category_slug,"lighting-accessories","lighting-modifiers"
RANDM-RM-AIR-TUBE-036,category_slug,"lighting-accessories","light-accessories"
TIFFE-BLACK-PROM-14-019,category_slug,"accessories","camera-accessories"
RANDM-RM-AIR-TUBE-030,category_slug,"lighting-accessories","lighting"
APUTU-APUTURE-300D-003,category_slug,"lighting","led-panels"
APUTU-APTURE-CS-1500-014,category_slug,"lighting","led-panels"
FLIX-CIRULAR-CHROMA-038,category_slug,"lighting-accessories","light-accessories"
FLIX-WHITE-CLOTH-8X8-010,category_slug,"lighting-accessories","light-accessories"
APUTU-APUTURE-LIGHTSTORM-6-012,category_slug,"lighting","led-panels"
FLIX-BETTERFLY-1X2M-029,category_slug,"lighting-accessories","light-accessories"
INNOX-INNOX-INF970-007,category_slug,"power","batteries-power"
INNOX-INNOX-DUAL-LIION-011,category_slug,"power","batteries-power"
FLIX-UNBLEASHED-MUSLIN-8X-011,category_slug,"lighting-accessories","light-accessories"
INNOX-INNOX-V-MOUNT-006,category_slug,"power","batteries-power"
FLIX-DUAL-CHANNEL-LIION-016,category_slug,"power","batteries-power"
PORTA-IMPACT-PORTA-FRAME-040,category_slug,"lighting-accessories","lighting"
FLIX-CURVED-DIFFUSERREFLE-042,category_slug,"lighting-accessories","lighting"
FLIX-HIHAT-WOOD-EXTENTION-014,category_slug,"accessories","camera-accessories"
FLIX-CIRCULAR-DIFFUSERREF-037,category_slug,"lighting-accessories","light-accessories"
SONY-SONY-BCQZ1-CHARGER-013,category_slug,"power","batteries-power"
SONY-SONY-NPFZ100-BATTERY-014,category_slug,"power","batteries-power"
SEKON-SEKONIC-C800-005,category_slug,"accessories","camera-accessories"
PHOTT-PHOTTIX-RAJA-MOUSE-023,category_slug,"lighting-accessories","lighting-modifiers"
BLUES-BLUSHAPE-DUAL-LIION-012,category_slug,"power","batteries-power"
FLIX-SOFTBOX-OCTA-022,category_slug,"lighting-accessories","lighting-modifiers"
PHOTT-PHOTTIX-RAJA-STRIP-027,category_slug,"lighting-accessories","lighting-modifiers"
SWIT-SWIT-V-MOUNT-004,category_slug,"power","batteries-power"
FLIX-FILTER-82-MM-008,category_slug,"accessories","camera-accessories"
FLIX-GREEN-CHROMA-X2-009,category_slug,"lighting-accessories","light-accessories"
FLIX-DIRECTOR-CAGE-004,category_slug,"accessories","camera-accessories"
MEIKE-MEIKE-EFRF-MOUNT-025,category_slug,"accessories","camera-accessories"
TILTA-TILTA-MATTE-BOX-023,category_slug,"accessories","camera-accessories"
FLIX-PRO-BLACK-ALMITE-012,category_slug,"accessories","camera-accessories"
FLIX-PEARLESCENT-14-82-011,category_slug,"accessories","camera-accessories"
SWIT-SWIT-B-MOUNT-002,category_slug,"power","batteries-power"
TIFFE-ND-12-TIFFEN-017,category_slug,"accessories","camera-accessories"
TIFFE-ND-06-TIFFEN-016,category_slug,"accessories","camera-accessories"
GOBOX-GOBOX-SOFTBOX-70X100-034,category_slug,"lighting-accessories","lighting-modifiers"
SCHNE-HLYWD-BLK-MAGIC-021,category_slug,"accessories","camera-accessories"
TIFFE-BLACK-PROM-18-020,category_slug,"accessories","camera-accessories"
FLIX-SILVER-CLOTH-4-003,category_slug,"lighting-accessories","lighting"
SELEN-SELENS-SOFTBOX-105CM-025,category_slug,"lighting-accessories","lighting-modifiers"
APUTU-APTURE-LANTERN-90-018,category_slug,"lighting-accessories","lighting"
VEMIC-VEMICO-NPFZ100-BATTE-015,category_slug,"power","batteries-power"
METAB-METABONES-PLRF-MOUNT-024,category_slug,"accessories","camera-accessories"
FLIX-MAGIC-CLOOTH-20X20-008,category_slug,"lighting-accessories","lighting"
FLIX-SOFT-FILTER-82-010,category_slug,"accessories","camera-accessories"
PHOTT-PHOTTIX-RAJA-STRIP-019,category_slug,"lighting-accessories","lighting-modifiers"
APUTU-APTURE-FRESNEL-2X-014,category_slug,"lighting-accessories","lighting"
FLIX-BLACK-MAGIC-ATEM-002,category_slug,"live-production","live-mixing"
FLIX-AUTO-Q-003,category_slug,"live-production","live-mixing"
FLIX-2-STRIP-SOFTBOX-028,category_slug,"lighting-accessories","lighting-modifiers"
BLUES-BLUE-SHAPE-V-009,category_slug,"power","batteries-power"
INNOX-INNOX-V-MOUNT-003,category_slug,"power","batteries-power"
SONY-SONY-NPF960-008,category_slug,"power","batteries-power"
NEWEL-NEWELL-DUAL-LIION-010,category_slug,"power","batteries-power"
FLIX-BLACK-MAGIC-ULTIMATT-001,category_slug,"live-production","live-mixing"
GODOX-GODOX-CS85D-021,category_slug,"lighting-accessories","lighting-modifiers"
FLIX-LIGHT-AMBERILA-001,category_slug,"lighting-accessories","lighting"
TERAD-TERADEK-WIRELESS-TRA-002,category_slug,"accessories","camera-accessories"
